state,county,latitude,longitude
Montana,Missoula,46.9653891,-113.9232612
Montana,Powell,46.9109569,-113.0294193
Montana,Sanders,47.6801812,-115.1769538
New Hampshire,Belknap,43.5218848,-71.4530581
New Hampshire,Carroll,43.8778199,-71.2740836
New Hampshire,Coos,44.698627,-71.3768039
New Hampshire,Grafton,43.9702453,-71.8742626
New Hampshire,Merrimack,43.3260376,-71.6854725
New Hampshire,Strafford,43.3312505,-71.0399927
New Mexico,Otero,32.5059533,-105.8063662
New York,Caledonia,42.9731366,-77.8530049
New York,Franklin,44.5599139,-74.3273735
New York,Hamilton,43.6307863,-74.4659275
New York,Herkimer,43.4911326,-74.9481252
New York,Lewis,43.7344277,-75.440289
New York,Oneida,43.2144051,-75.4039155
New York,St. Lawrence,44.4973591,-75.0657043
New York,Windham,42.3071735,-74.2513425
New York,Windsor,41.4743072,-74.0176697
Ohio,Adams,38.8398935,-83.5051704
Ohio,Brown,38.9092542,-83.8836555
Ohio,Highland,39.1802516,-83.6304344
Ohio,Pike,39.1056387,-83.0611404
Ohio,Scioto,38.823448,-83.017141
Oregon,Crook,44.1460291,-120.3839476
Oregon,Deschutes,43.8194838,-121.1669662
Oregon,Grant,44.464824,-119.0565278
Oregon,Hood River,45.5311636,-121.6475587
Oregon,Klamath,42.6052565,-121.739544
Oregon,Lake,42.7702847,-120.4528326
Oregon,Wheeler,44.6768382,-120.0484375
Pennsylvania,Clinton,41.2711458,-77.6984481
Pennsylvania,Schuylkill,40.6936632,-76.2277971
South Carolina,Berkeley,33.1595951,-79.9070461
South Carolina,Dorchester,33.0756291,-80.3431133
South Carolina,Greenville,34.8550021,-82.3356457
South Carolina,Hampton,32.7861789,-81.1237271
South Carolina,Jasper,32.4048602,-81.0414726
South Carolina,Oconee,34.7622221,-83.1099645
South Carolina,Orangeburg,33.4054944,-80.778429
South Carolina,Pickens,34.8882592,-82.7193824
South Carolina,Screven,33.3661081,-79.280953
Tennessee,Anderson,36.1063226,-84.1849939
Tennessee,Bell,36.0484489,-86.6451283
Tennessee,Campbell,36.3865389,-84.1351617
Tennessee,Claiborne,36.4673161,-83.6786377
Tennessee,Fentress,36.3572145,-84.9266843
Tennessee,Johnson,36.443004,-81.8434683
Tennessee,Knox,35.9859998,-83.9375598
Tennessee,Lewis,35.5291497,-87.4950257
Tennessee,Morgan,36.1372409,-84.629496
Tennessee,Overton,36.3396292,-85.286641
Tennessee,Perry,35.6337989,-87.8498777
Tennessee,Roane,35.84857,-84.5225522
Tennessee,Scott,36.4380433,-84.5095507
Tennessee,White,35.9245897,-85.4630947
Tennessee,Whitley,36.5329761,-85.8394745
Texas,Montgomery,30.301949,-95.5065944
Texas,Newton,30.8118989,-93.740504
Vermont,Caledonia,44.4638331,-72.1083609
Vermont,Coos,44.2101465,-72.5516014
Vermont,Essex,44.6808521,-71.735233
Vermont,Franklin,44.8250651,-72.8743619
Vermont,Lamoille,44.6090486,-72.6714363
Vermont,Orleans,44.8680836,-72.2595811
Vermont,Vermont,44.9351831,-72.2102941
Vermont,Washington,44.2690924,-72.6146505
Virginia,Bath,38.0557256,-79.7350017
Virginia,Buchanan,37.2600448,-82.0320334
Virginia,Buchannan,39.0835175,-78.197497
Virginia,Dickenson,37.1226368,-82.359691
Virginia,McDowell,37.3660757,-81.6478197
Virginia,Russell,36.9251814,-82.1147841
Virginia,Tazewell,37.1236041,-81.5684129
Virginia,Washington,36.740236,-81.9421666
Virginia,Wise,37.0170633,-82.6103804
Washington,Clallam,47.9998383,-123.7373472
Washington,Columbia,46.2947665,-117.9174697
Washington,Jefferson,47.7325289,-123.6328565
Washington,Klickitat,45.8767731,-120.7976033
Washington,Olympic Peninsula - Clallam,48.0830573,-123.0832457
Washington,Pacific,46.5334929,-123.768029
Washington,Pierce,47.0022547,-122.2117983
Washington,Skamania,45.966211,-121.9278867
Washington,Stevens,48.4249969,-117.8489411
Washington,Yakima,46.4135961,-120.730253
West Virginia,Boone,37.9970331,-81.7143949
West Virginia,Braxton,38.699643,-80.7012614
West Virginia,Burnsville,38.8580713,-80.6600317
West Virginia,Hardy,39.0040008,-78.8441276
West Virginia,Lincoln,38.1570776,-82.0671435
West Virginia,Logan,37.8024603,-81.9284776
West Virginia,McDowell,37.3660757,-81.6478197
West Virginia,Mingo,37.679051,-82.1317065
West Virginia,Pike,39.2834114,-81.0814999
West Virginia,Raleigh,37.7493481,-81.2250929
West Virginia,Wayne,38.1270685,-82.4289201
West Virginia,West Virginia,39.6728444,-79.4968554
West Virginia,Wyoming,37.5969073,-81.5364932
Wisconsin,Ashland,46.2062319,-90.6802594
Wisconsin,Bayfield,46.4710241,-91.1983175
Wisconsin,Burnett,45.8652437,-92.2673161
Wisconsin,Florence,45.8379973,-88.3902943
Wisconsin,Forest,45.625108,-88.806738
Wisconsin,Iron,46.2254778,-90.2125304
Wisconsin,Jackson,44.3016847,-90.8085198
Wisconsin,Lincoln,45.3265631,-89.7326216
Wisconsin,Oneida,45.6879163,-89.4779558
Wisconsin,Rusk,45.4589749,-91.1240967
Wisconsin,Washburn,45.8926321,-91.7971652
